timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,is_holiday
01-01-2023,US_East,Compute,161.77,193.54,84.11,99.46,1
01-01-2023,US_East,Storage,94.15,99.96,20.34,99.43,1
01-01-2023,US_West,Compute,146.46,154.39,80.22,99.73,1
01-01-2023,US_West,Storage,75.72,82.26,14.8,99.66,1
01-01-2023,India_South,Compute,120.02,136.39,59.63,98.93,1
01-01-2023,India_South,Storage,62.24,68.99,12.51,99.59,1
02-01-2023,US_East,Compute,172.27,187.76,88.47,99.43,0
02-01-2023,US_East,Storage,91.55,107.25,17.86,99.53,0
02-01-2023,US_West,Compute,125.34,148.75,63.67,99.41,0
02-01-2023,US_West,Storage,80.69,85.28,17.53,99.18,0
02-01-2023,India_South,Compute,126.43,140.64,64.99,99.13,0
02-01-2023,India_South,Storage,59.46,73.97,12.68,99.56,0
03-01-2023,US_East,Compute,165.8,177.02,81.19,99.55,0
03-01-2023,US_East,Storage,96.33,108.63,19.09,99.41,0
03-01-2023,US_West,Compute,127.41,140.94,65.7,99.82,0
03-01-2023,US_West,Storage,84.48,89.96,18.55,99.38,0
03-01-2023,India_South,Compute,112.04,117.77,60.07,99.68,0
03-01-2023,India_South,Storage,83.42,100.46,16.04,99.78,0
04-01-2023,US_East,Compute,150.83,184.41,78.69,99.41,0
04-01-2023,US_East,Storage,93.19,103.65,18.62,99.44,0
04-01-2023,US_West,Compute,140.81,172.83,71.87,99.91,0
04-01-2023,US_West,Storage,85.27,102.51,17.64,99.31,0
04-01-2023,India_South,Compute,119.06,137.46,60.37,99.97,0
04-01-2023,India_South,Storage,74.36,82.75,15.26,99.41,0
05-01-2023,US_East,Compute,157.83,178.67,83.91,99.61,0
05-01-2023,US_East,Storage,90.39,111.72,19.37,99.35,0
05-01-2023,US_West,Compute,142.51,172.54,69.68,99.6,0
05-01-2023,US_West,Storage,83.03,100.59,18.01,99.79,0
05-01-2023,India_South,Compute,113,123.8,57.29,99.4,0
05-01-2023,India_South,Storage,76.82,80.77,15.77,99.58,0
06-01-2023,US_East,Compute,146.67,157.52,73.38,99.37,0
06-01-2023,US_East,Storage,97.36,112.33,20.55,99.62,0
06-01-2023,US_West,Compute,136.6,169.72,67.46,99.48,0
06-01-2023,US_West,Storage,63.29,70.06,12.09,99.49,0
06-01-2023,India_South,Compute,121.22,128.53,60.11,100,0
06-01-2023,India_South,Storage,72.3,78.01,14.8,99.59,0
07-01-2023,US_East,Compute,173.05,189.93,91.65,99.73,0
07-01-2023,US_East,Storage,113.49,133.54,23.39,99.08,0
07-01-2023,US_West,Compute,124.78,132.04,64.8,99.33,0
07-01-2023,US_West,Storage,67.38,79.44,13.15,99.52,0
07-01-2023,India_South,Compute,112.03,138.61,54.37,99.96,0
07-01-2023,India_South,Storage,66.76,82.45,14.44,99.4,0
08-01-2023,US_East,Compute,170.56,206.96,88.12,99.13,1
08-01-2023,US_East,Storage,83.88,89.63,18.19,99.56,1
08-01-2023,US_West,Compute,137.95,154.2,69.14,99.73,1
08-01-2023,US_West,Storage,88.51,108.64,18.89,99.59,1
08-01-2023,India_South,Compute,115.02,124.49,62.38,99.57,1
08-01-2023,India_South,Storage,77.9,81.87,15.18,99.29,1
09-01-2023,US_East,Compute,181.88,214.69,89.45,99.64,0
09-01-2023,US_East,Storage,90.7,101.13,19.26,99.74,0
09-01-2023,US_West,Compute,145.65,172.09,75.39,99.62,0
09-01-2023,US_West,Storage,81.25,89.62,16.03,99.27,0
09-01-2023,India_South,Compute,121.65,149.43,63.54,99.6,0
09-01-2023,India_South,Storage,75.46,87.94,15.45,99.94,0
